county,stations in county,stations within 5km
Albany,241,349
Allegany,3,4
Bronx,17,117
Broome,20,22
Cattaraugus,9,13
Cayuga,4,21
Chautauqua,14,14
Chemung,3,14
Chenango,0,0
Clinton,15,19
Columbia,19,32
Cortland,0,8
Delaware,6,14
Dutchess,52,70
Erie,198,200
Essex,33,49
Franklin,22,28
Fulton,1,27
Genesee,5,13
Greene,10,25
Hamilton,4,5
Herkimer,6,28
Jefferson,11,11
Kings,54,312
Lewis,2,2
Livingston,4,15
Madison,3,14
Monroe,140,166
Montgomery,8,28
Nassau,50,86
New York,366,450
Niagara,14,19
Oneida,42,42
Onondaga,93,93
Ontario,12,41
Orange,21,30
Orleans,12,12
Oswego,4,4
Otsego,10,13
Putnam,5,15
Queens,81,414
Rensselaer,51,119
Richmond,23,23
Rockland,29,33
Saratoga,144,249
Schenectady,90,91
Schoharie,4,4
Schuyler,11,18
Seneca,5,15
St. Lawrence,20,20
Steuben,12,14
Suffolk,184,189
Sullivan,13,16
Tioga,5,8
Tompkins,42,43
Ulster,95,116
Warren,65,93
Washington,31,58
Wayne,31,36
Westchester,114,128
Wyoming,6,6
Yates,11,11
